Row,Day,Day.Of.Week,Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits
1342,Thursday,5,5/17/2018,"5,690","4,023","3,254",769
1343,Friday,6,5/18/2018,"4,314","2,986","2,400",586
1344,Saturday,7,5/19/2018,"2,948","2,117","1,735",382
1345,Sunday,1,5/20/2018,"3,864","2,674","2,155",519
1346,Monday,2,5/21/2018,"5,499","3,708","3,005",703
1347,Tuesday,3,5/22/2018,"5,790","4,040","3,269",771
1348,Wednesday,4,5/23/2018,"5,720","3,971","3,206",765
1349,Thursday,5,5/24/2018,"5,692","3,675","2,965",710
1350,Friday,6,5/25/2018,"4,082","2,803","2,188",615
1351,Saturday,7,5/26/2018,"2,716","1,965","1,597",368
1352,Sunday,1,5/27/2018,"3,430","2,374","1,887",487
1353,Monday,2,5/28/2018,"4,353","2,994","2,392",602
1354,Tuesday,3,5/29/2018,"5,525","3,777","3,112",665
1355,Wednesday,4,5/30/2018,"5,407","3,574","2,908",666
1356,Thursday,5,5/31/2018,"4,994","3,485","2,792",693
1357,Friday,6,6/1/2018,"3,835","2,681","2,172",509
1358,Saturday,7,6/2/2018,"2,511","1,750","1,423",327
1359,Sunday,1,6/3/2018,"3,371","2,308","1,891",417
1360,Monday,2,6/4/2018,"5,226","3,399","2,741",658
1361,Tuesday,3,6/5/2018,"5,139","3,453","2,811",642
1362,Wednesday,4,6/6/2018,"5,051","3,474","2,828",646
1363,Thursday,5,6/7/2018,"4,787","3,283","2,685",598
1364,Friday,6,6/8/2018,"3,956","2,670","2,107",563
1365,Saturday,7,6/9/2018,"2,303","1,589","1,278",311
1366,Sunday,1,6/10/2018,"3,011","2,091","1,717",374
1367,Monday,2,6/11/2018,"4,896","3,326","2,714",612
1368,Tuesday,3,6/12/2018,"4,952","3,309","2,624",685
1369,Wednesday,4,6/13/2018,"4,570","3,099","2,439",660
1370,Thursday,5,6/14/2018,"4,542","2,962","2,377",585
1371,Friday,6,6/15/2018,"3,383","2,320","1,847",473
1372,Saturday,7,6/16/2018,"1,922","1,316","1,061",255
1373,Sunday,1,6/17/2018,"2,404","1,677","1,361",316
1374,Monday,2,6/18/2018,"4,576","2,964","2,313",651
1375,Tuesday,3,6/19/2018,"4,727","3,144","2,519",625
1376,Wednesday,4,6/20/2018,"4,639","2,989","2,370",619
1377,Thursday,5,6/21/2018,"4,108","2,762","2,154",608
1378,Friday,6,6/22/2018,"3,372","2,207","1,744",463
1379,Saturday,7,6/23/2018,"1,996","1,277",989,288
1380,Sunday,1,6/24/2018,"2,415","1,619","1,266",353
1381,Monday,2,6/25/2018,"4,457","2,881","2,272",609
1382,Tuesday,3,6/26/2018,"4,736","3,039","2,410",629
1383,Wednesday,4,6/27/2018,"4,245","2,818","2,244",574
1384,Thursday,5,6/28/2018,"4,081","2,785","2,160",625
1385,Friday,6,6/29/2018,"3,053","2,008","1,568",440
1386,Saturday,7,6/30/2018,"1,741","1,147",927,220
1387,Sunday,1,7/1/2018,"2,186","1,447","1,140",307
1388,Monday,2,7/2/2018,"4,026","2,533","1,952",581
1389,Tuesday,3,7/3/2018,"3,961","2,515","1,966",549
1390,Wednesday,4,7/4/2018,"3,019","2,032","1,595",437
1391,Thursday,5,7/5/2018,"3,743","2,496","1,997",499
1392,Friday,6,7/6/2018,"3,050","1,995","1,575",420
1393,Saturday,7,7/7/2018,"1,688","1,080",857,223
1394,Sunday,1,7/8/2018,"2,185","1,440","1,145",295
1395,Monday,2,7/9/2018,"4,104","2,576","2,016",560
1396,Tuesday,3,7/10/2018,"4,097","2,694","2,059",635
1397,Wednesday,4,7/11/2018,"3,844","2,506","1,895",611
1398,Thursday,5,7/12/2018,"3,743","2,530","2,001",529
1399,Friday,6,7/13/2018,"3,073","2,068","1,581",487
1400,Saturday,7,7/14/2018,"1,852","1,249",992,257
1401,Sunday,1,7/15/2018,"2,105","1,474","1,173",301
1402,Monday,2,7/16/2018,"4,078","2,657","2,095",562
1403,Tuesday,3,7/17/2018,"4,515","2,856","2,255",601
1404,Wednesday,4,7/18/2018,"4,276","2,779","2,173",606
1405,Thursday,5,7/19/2018,"4,043","2,705","2,114",591
1406,Friday,6,7/20/2018,"3,004","2,028","1,576",452
1407,Saturday,7,7/21/2018,"1,664","1,177",942,235
1408,Sunday,1,7/22/2018,"2,248","1,561","1,246",315
1409,Monday,2,7/23/2018,"4,062","2,658","2,081",577
1410,Tuesday,3,7/24/2018,"4,053","2,680","2,091",589
1411,Wednesday,4,7/25/2018,"3,628","2,431","1,879",552
1412,Thursday,5,7/26/2018,"3,596","2,415","1,925",490
1413,Friday,6,7/27/2018,"3,140","2,002","1,539",463
1414,Saturday,7,7/28/2018,"1,938","1,304","1,054",250
1415,Sunday,1,7/29/2018,"2,460","1,699","1,364",335
1416,Monday,2,7/30/2018,"4,175","2,771","2,166",605
1417,Tuesday,3,7/31/2018,"4,113","2,881","2,310",571
1418,Wednesday,4,8/1/2018,"4,273","2,901","2,310",591
1419,Thursday,5,8/2/2018,"4,194","2,754","2,202",552
1420,Friday,6,8/3/2018,"3,405","2,345","1,833",512
1421,Saturday,7,8/4/2018,"1,800","1,251","1,025",226
1422,Sunday,1,8/5/2018,"2,378","1,694","1,388",306
1423,Monday,2,8/6/2018,"4,319","2,856","2,233",623
1424,Tuesday,3,8/7/2018,"4,388","2,971","2,375",596
1425,Wednesday,4,8/8/2018,"4,205","2,724","2,118",606
1426,Thursday,5,8/9/2018,"3,973","2,555","1,998",557
1427,Friday,6,8/10/2018,"3,510","2,224","1,777",447
1428,Saturday,7,8/11/2018,"1,913","1,281","1,012",269
1429,Sunday,1,8/12/2018,"2,397","1,644","1,284",360
1430,Monday,2,8/13/2018,"4,348","2,789","2,224",565
1431,Tuesday,3,8/14/2018,"3,966","2,688","2,127",561
1432,Wednesday,4,8/15/2018,"3,805","2,544","2,035",509
1433,Thursday,5,8/16/2018,"3,866","2,604","2,074",530
1434,Friday,6,8/17/2018,"3,489","2,219","1,737",482
1435,Saturday,7,8/18/2018,"2,074","1,394","1,108",286
1436,Sunday,1,8/19/2018,"2,519","1,687","1,318",369
1437,Monday,2,8/20/2018,"4,202","2,734","2,128",606
1438,Tuesday,3,8/21/2018,"4,023","2,711","2,147",564
1439,Wednesday,4,8/22/2018,"4,048","2,685","2,121",564
1440,Thursday,5,8/23/2018,"4,150","2,860","2,249",611
1441,Friday,6,8/24/2018,"3,154","2,199","1,742",457
1442,Saturday,7,8/25/2018,"2,143","1,317","1,012",305
1443,Sunday,1,8/26/2018,"2,576","1,705","1,372",333
1444,Monday,2,8/27/2018,"4,317","2,954","2,367",587
1445,Tuesday,3,8/28/2018,"4,421","3,023","2,427",596
1446,Wednesday,4,8/29/2018,"4,563","3,019","2,395",624
1447,Thursday,5,8/30/2018,"4,055","2,798","2,265",533
1448,Friday,6,8/31/2018,"3,427","2,305","1,815",490
1449,Saturday,7,9/1/2018,"1,731","1,241",989,252
1450,Sunday,1,9/2/2018,"2,258","1,641","1,293",348
1451,Monday,2,9/3/2018,"3,655","2,499","2,032",467
1452,Tuesday,3,9/4/2018,"4,456","2,995","2,435",560
1453,Wednesday,4,9/5/2018,"4,566","3,042","2,456",586
1454,Thursday,5,9/6/2018,"4,314","3,049","2,508",541
1455,Friday,6,9/7/2018,"3,557","2,349","1,890",459
1456,Saturday,7,9/8/2018,"2,281","1,548","1,255",293
1457,Sunday,1,9/9/2018,"3,346","2,255","1,906",349
1458,Monday,2,9/10/2018,"4,711","3,200","2,600",600
1459,Tuesday,3,9/11/2018,"4,709","3,134","2,595",539
1460,Wednesday,4,9/12/2018,"4,379","3,032","2,464",568
1461,Thursday,5,9/13/2018,"4,357","2,870","2,325",545
1462,Friday,6,9/14/2018,"3,560","2,396","1,907",489
1463,Saturday,7,9/15/2018,"2,049","1,488","1,244",244
1464,Sunday,1,9/16/2018,"2,813","1,934","1,614",320
1465,Monday,2,9/17/2018,"5,064","3,241","2,621",620
1466,Tuesday,3,9/18/2018,"5,006","3,221","2,595",626
1467,Wednesday,4,9/19/2018,"4,949","3,282","2,708",574
1468,Thursday,5,9/20/2018,"4,695","3,165","2,573",592
1469,Friday,6,9/21/2018,"3,516","2,383","1,933",450
1470,Saturday,7,9/22/2018,"2,460","1,704","1,374",330
1471,Sunday,1,9/23/2018,"2,994","2,127","1,733",394
1472,Monday,2,9/24/2018,"4,688","3,273","2,679",594
1473,Tuesday,3,9/25/2018,"4,924","3,481","2,885",596
1474,Wednesday,4,9/26/2018,"5,209","3,546","2,936",610
1475,Thursday,5,9/27/2018,"5,966","4,029","3,385",644
1476,Friday,6,9/28/2018,"4,740","3,171","2,643",528
1477,Saturday,7,9/29/2018,"2,715","1,870","1,618",252
1478,Sunday,1,9/30/2018,"3,739","2,573","2,194",379
1479,Monday,2,10/1/2018,"5,841","3,982","3,331",651
1480,Tuesday,3,10/2/2018,"5,881","4,096","3,514",582
1481,Wednesday,4,10/3/2018,"5,540","3,863","3,249",614
1482,Thursday,5,10/4/2018,"5,636","3,894","3,306",588
1483,Friday,6,10/5/2018,"4,479","3,120","2,638",482
1484,Saturday,7,10/6/2018,"3,076","2,094","1,750",344
1485,Sunday,1,10/7/2018,"3,973","2,865","2,457",408
1486,Monday,2,10/8/2018,"6,045","4,310","3,659",651
1487,Tuesday,3,10/9/2018,"6,126","4,173","3,522",651
1488,Wednesday,4,10/10/2018,"6,084","4,319","3,616",703
1489,Thursday,5,10/11/2018,"6,154","4,254","3,632",622
1490,Friday,6,10/12/2018,"4,868","3,385","2,784",601
1491,Saturday,7,10/13/2018,"3,409","2,379","2,006",373
1492,Sunday,1,10/14/2018,"4,722","3,357","2,859",498
1493,Monday,2,10/15/2018,"6,555","4,550","3,766",784
1494,Tuesday,3,10/16/2018,"7,079","4,652","3,893",759
1495,Wednesday,4,10/17/2018,"6,691","4,673","3,893",780
1496,Thursday,5,10/18/2018,"6,522","4,398","3,666",732
1497,Friday,6,10/19/2018,"4,922","3,390","2,857",533
1498,Saturday,7,10/20/2018,"3,409","2,399","1,990",409
1499,Sunday,1,10/21/2018,"4,483","3,092","2,623",469
1500,Monday,2,10/22/2018,"6,666","4,499","3,769",730
1501,Tuesday,3,10/23/2018,"6,991","4,677","3,916",761
1502,Wednesday,4,10/24/2018,"6,871","4,619","3,808",811
1503,Thursday,5,10/25/2018,"6,357","4,331","3,579",752
1504,Friday,6,10/26/2018,"5,114","3,468","2,827",641
1505,Saturday,7,10/27/2018,"3,456","2,400","2,006",394
1506,Sunday,1,10/28/2018,"4,924","3,251","2,735",516
1507,Monday,2,10/29/2018,"6,837","4,704","3,890",814
1508,Tuesday,3,10/30/2018,"6,481","4,547","3,798",749
1509,Wednesday,4,10/31/2018,"6,296","4,316","3,545",771
1510,Thursday,5,11/1/2018,"6,044","3,988","3,299",689
1511,Friday,6,11/2/2018,"4,860","3,326","2,738",588
1512,Saturday,7,11/3/2018,"3,430","2,289","1,946",343
1513,Sunday,1,11/4/2018,"4,638","3,236","2,744",492
1514,Monday,2,11/5/2018,"6,365","4,329","3,609",720
1515,Tuesday,3,11/6/2018,"6,330","4,291","3,556",735
1516,Wednesday,4,11/7/2018,"5,865","3,937","3,267",670
1517,Thursday,5,11/8/2018,"5,692","3,938","3,298",640
1518,Friday,6,11/9/2018,"5,026","3,533","2,917",616
1519,Saturday,7,11/10/2018,"3,506","2,428","2,018",410
1520,Sunday,1,11/11/2018,"4,778","3,265","2,709",556
1521,Monday,2,11/12/2018,"6,684","4,592","3,795",797
1522,Tuesday,3,11/13/2018,"6,766","4,720","3,918",802
1523,Wednesday,4,11/14/2018,"6,916","4,674","3,872",802
1524,Thursday,5,11/15/2018,"6,440","4,379","3,634",745
1525,Friday,6,11/16/2018,"5,066","3,497","2,863",634
1526,Saturday,7,11/17/2018,"3,503","2,489","2,043",446
1527,Sunday,1,11/18/2018,"4,855","3,321","2,691",630
1528,Monday,2,11/19/2018,"6,818","4,601","3,795",806
1529,Tuesday,3,11/20/2018,"6,239","4,424","3,640",784
1530,Wednesday,4,11/21/2018,"5,471","3,904","3,194",710
1531,Thursday,5,11/22/2018,"4,453","3,186","2,592",594
1532,Friday,6,11/23/2018,"4,062","2,892","2,347",545
1533,Saturday,7,11/24/2018,"3,485","2,445","1,987",458
1534,Sunday,1,11/25/2018,"4,906","3,371","2,815",556
1535,Monday,2,11/26/2018,"7,099","4,871","4,012",859
1536,Tuesday,3,11/27/2018,"7,503","5,181","4,267",914
1537,Wednesday,4,11/28/2018,"7,554","5,227","4,330",897
1538,Thursday,5,11/29/2018,"7,169","4,944","4,106",838
1539,Friday,6,11/30/2018,"5,608","3,895","3,211",684
1540,Saturday,7,12/1/2018,"4,055","2,800","2,306",494
1541,Sunday,1,12/2/2018,"5,611","3,906","3,259",647
1542,Monday,2,12/3/2018,"7,650","5,378","4,431",947
1543,Tuesday,3,12/4/2018,"7,372","5,225","4,328",897
1544,Wednesday,4,12/5/2018,"7,369","5,166","4,316",850
1545,Thursday,5,12/6/2018,"7,250","5,093","4,213",880
1546,Friday,6,12/7/2018,"5,735","4,032","3,296",736
1547,Saturday,7,12/8/2018,"4,614","3,240","2,699",541
1548,Sunday,1,12/9/2018,"5,979","4,062","3,352",710
1549,Monday,2,12/10/2018,"7,840","5,421","4,465",956
1550,Tuesday,3,12/11/2018,"7,659","5,267","4,330",937
1551,Wednesday,4,12/12/2018,"7,319","4,983","4,010",973
1552,Thursday,5,12/13/2018,"6,373","4,452","3,620",832
1553,Friday,6,12/14/2018,"4,897","3,404","2,776",628
1554,Saturday,7,12/15/2018,"3,325","2,209","1,833",376
1555,Sunday,1,12/16/2018,"3,874","2,671","2,206",465
1556,Monday,2,12/17/2018,"5,436","3,791","3,062",729
1557,Tuesday,3,12/18/2018,"5,174","3,562","2,945",617
1558,Wednesday,4,12/19/2018,"4,873","3,255","2,632",623
1559,Thursday,5,12/20/2018,"3,913","2,716","2,164",552
1560,Friday,6,12/21/2018,"2,934","1,979","1,543",436
1561,Saturday,7,12/22/2018,"1,523","1,074",846,228
1562,Sunday,1,12/23/2018,"1,859","1,223",997,226
1563,Monday,2,12/24/2018,"1,835","1,310","1,019",291
1564,Tuesday,3,12/25/2018,"1,852","1,214",955,259
1565,Wednesday,4,12/26/2018,"2,357","1,594","1,243",351
1566,Thursday,5,12/27/2018,"2,583","1,783","1,418",365
1567,Friday,6,12/28/2018,"2,477","1,613","1,279",334
1568,Saturday,7,12/29/2018,"1,694","1,197",990,207
1569,Sunday,1,12/30/2018,"1,985","1,340","1,097",243
1570,Monday,2,12/31/2018,"1,723","1,159",874,285
1571,Tuesday,3,1/1/2019,"1,715","1,168",891,277
1572,Wednesday,4,1/2/2019,"3,431","2,361","1,899",462
1573,Thursday,5,1/3/2019,"4,118","2,793","2,259",534
1574,Friday,6,1/4/2019,"3,504","2,373","1,936",437
1575,Saturday,7,1/5/2019,"2,308","1,609","1,348",261
1576,Sunday,1,1/6/2019,"2,925","2,046","1,648",398
1577,Monday,2,1/7/2019,"4,587","3,100","2,550",550
1578,Tuesday,3,1/8/2019,"4,731","3,182","2,585",597
1579,Wednesday,4,1/9/2019,"4,831","3,245","2,660",585
1580,Thursday,5,1/10/2019,"4,162","2,836","2,298",538
1581,Friday,6,1/11/2019,"3,726","2,476","1,999",477
1582,Saturday,7,1/12/2019,"2,458","1,722","1,413",309
1583,Sunday,1,1/13/2019,"3,266","2,264","1,878",386
1584,Monday,2,1/14/2019,"5,016","3,348","2,760",588
1585,Tuesday,3,1/15/2019,"4,732","3,320","2,738",582
1586,Wednesday,4,1/16/2019,"4,938","3,447","2,845",602
1587,Thursday,5,1/17/2019,"5,033","3,516","2,967",549
1588,Friday,6,1/18/2019,"4,114","2,731","2,236",495
1589,Saturday,7,1/19/2019,"2,780","1,929","1,599",330
1590,Sunday,1,1/20/2019,"4,205","2,367","1,974",393
1591,Monday,2,1/21/2019,"4,983","3,391","2,783",608
1592,Tuesday,3,1/22/2019,"5,182","3,674","3,052",622
1593,Wednesday,4,1/23/2019,"5,316","3,856","3,199",657
1594,Thursday,5,1/24/2019,"5,021","3,462","2,853",609
1595,Friday,6,1/25/2019,"4,230","2,882","2,382",500
1596,Saturday,7,1/26/2019,"2,743","1,882","1,541",341
1597,Sunday,1,1/27/2019,"3,890","2,622","2,232",390
1598,Monday,2,1/28/2019,"5,575","3,925","3,232",693
1599,Tuesday,3,1/29/2019,"5,732","3,866","3,260",606
1600,Wednesday,4,1/30/2019,"5,402","3,759","3,134",625
1601,Thursday,5,1/31/2019,"5,069","3,597","2,984",613
1602,Friday,6,2/1/2019,"4,222","2,923","2,364",559
1603,Saturday,7,2/2/2019,"2,864","1,902","1,596",306
1604,Sunday,1,2/3/2019,"3,598","2,447","2,044",403
1605,Monday,2,2/4/2019,"5,366","3,767","3,146",621
1606,Tuesday,3,2/5/2019,"5,427","3,757","3,124",633
1607,Wednesday,4,2/6/2019,"5,667","3,759","3,130",629
1608,Thursday,5,2/7/2019,"5,517","3,763","3,069",694
1609,Friday,6,2/8/2019,"4,420","2,943","2,429",514
1610,Saturday,7,2/9/2019,"3,150","2,274","1,911",363
1611,Sunday,1,2/10/2019,"4,264","2,962","2,470",492
1612,Monday,2,2/11/2019,"6,569","4,276","3,566",710
1613,Tuesday,3,2/12/2019,"6,145","4,092","3,391",701
1614,Wednesday,4,2/13/2019,"5,743","3,932","3,236",696
1615,Thursday,5,2/14/2019,"5,512","3,762","3,075",687
1616,Friday,6,2/15/2019,"4,127","2,952","2,377",575
1617,Saturday,7,2/16/2019,"3,309","2,195","1,809",386
1618,Sunday,1,2/17/2019,"3,761","2,669","2,217",452
1619,Monday,2,2/18/2019,"5,592","3,912","3,226",686
1620,Tuesday,3,2/19/2019,"6,100","4,322","3,575",747
1621,Wednesday,4,2/20/2019,"6,208","4,265","3,543",722
1622,Thursday,5,2/21/2019,"5,730","4,071","3,352",719
1623,Friday,6,2/22/2019,"4,372","3,073","2,508",565
1624,Saturday,7,2/23/2019,"3,378","2,259","1,871",388
1625,Sunday,1,2/24/2019,"4,367","3,012","2,524",488
1626,Monday,2,2/25/2019,"6,318","4,424","3,678",746
1627,Tuesday,3,2/26/2019,"6,431","4,304","3,530",774
1628,Wednesday,4,2/27/2019,"5,919","4,205","3,442",763
1629,Thursday,5,2/28/2019,"5,668","3,966","3,266",700
1630,Friday,6,3/1/2019,"4,581","3,178","2,594",584
1631,Saturday,7,3/2/2019,"3,383","2,263","1,878",385
1632,Sunday,1,3/3/2019,"4,311","3,005","2,476",529
1633,Monday,2,3/4/2019,"6,357","4,214","3,443",771
1634,Tuesday,3,3/5/2019,"6,092","4,092","3,343",749
1635,Wednesday,4,3/6/2019,"5,772","4,070","3,340",730
1636,Thursday,5,3/7/2019,"5,861","4,064","3,330",734
1637,Friday,6,3/8/2019,"4,600","3,147","2,590",557
1638,Saturday,7,3/9/2019,"3,390","2,218","1,849",369
1639,Sunday,1,3/10/2019,"4,099","2,898","2,397",501
1640,Monday,2,3/11/2019,"6,240","4,320","3,599",721
1641,Tuesday,3,3/12/2019,"5,871","4,127","3,375",752
1642,Wednesday,4,3/13/2019,"6,381","4,506","3,726",780
1643,Thursday,5,3/14/2019,"5,853","4,043","3,328",715
1644,Friday,6,3/15/2019,"4,425","3,116","2,499",617
1645,Saturday,7,3/16/2019,"2,961","2,099","1,685",414
1646,Sunday,1,3/17/2019,"4,008","2,744","2,258",486
1647,Monday,2,3/18/2019,"5,830","4,040","3,319",721
1648,Tuesday,3,3/19/2019,"6,089","4,164","3,448",716
1649,Wednesday,4,3/20/2019,"5,800","3,946","3,192",754
1650,Thursday,5,3/21/2019,"5,431","3,761","3,100",661
1651,Friday,6,3/22/2019,"4,560","3,071","2,543",528
1652,Saturday,7,3/23/2019,"3,256","2,254","1,859",395
1653,Sunday,1,3/24/2019,"4,156","2,858","2,386",472
1654,Monday,2,3/25/2019,"6,060","4,232","3,469",763
1655,Tuesday,3,3/26/2019,"6,191","4,344","3,578",766
1656,Wednesday,4,3/27/2019,"6,678","4,612","3,842",770
1657,Thursday,5,3/28/2019,"6,167","4,086","3,361",725
1658,Friday,6,3/29/2019,"4,441","3,147","2,601",546
1659,Saturday,7,3/30/2019,"3,243","2,325","1,949",376
1660,Sunday,1,3/31/2019,"4,260","3,039","2,543",496
1661,Monday,2,4/1/2019,"6,078","4,238","3,550",688
1662,Tuesday,3,4/2/2019,"6,824","4,656","3,833",823
1663,Wednesday,4,4/3/2019,"6,621","4,727","3,942",785
1664,Thursday,5,4/4/2019,"6,231","4,343","3,647",696
1665,Friday,6,4/5/2019,"4,776","3,346","2,719",627
1666,Saturday,7,4/6/2019,"3,148","2,319","1,924",395
1667,Sunday,1,4/7/2019,"4,357","3,050","2,511",539
1668,Monday,2,4/8/2019,"6,794","4,738","3,960",778
1669,Tuesday,3,4/9/2019,"6,688","4,505","3,736",769
1670,Wednesday,4,4/10/2019,"6,570","4,448","3,646",802
1671,Thursday,5,4/11/2019,"6,113","4,264","3,504",760
1672,Friday,6,4/12/2019,"4,856","3,336","2,726",610
1673,Saturday,7,4/13/2019,"3,401","2,409","2,011",398
1674,Sunday,1,4/14/2019,"4,551","3,197","2,600",597
1675,Monday,2,4/15/2019,"6,614","4,773","3,967",806
1676,Tuesday,3,4/16/2019,"7,019","4,837","4,037",800
1677,Wednesday,4,4/17/2019,"6,643","4,470","3,681",789
1678,Thursday,5,4/18/2019,"5,398","3,825","3,133",692
1679,Friday,6,4/19/2019,"4,323","2,981","2,482",499
1680,Saturday,7,4/20/2019,"3,546","2,442","2,020",422
1681,Sunday,1,4/21/2019,"4,312","3,045","2,534",511
1682,Monday,2,4/22/2019,"6,363","4,520","3,729",791
1683,Tuesday,3,4/23/2019,"6,797","4,968","4,147",821
1684,Wednesday,4,4/24/2019,"7,144","5,002","4,136",866
1685,Thursday,5,4/25/2019,"6,555","4,621","3,804",817
1686,Friday,6,4/26/2019,"5,400","3,780","3,089",691
1687,Saturday,7,4/27/2019,"3,710","2,465","2,038",427
1688,Sunday,1,4/28/2019,"4,788","3,294","2,728",566
1689,Monday,2,4/29/2019,"6,232","4,340","3,578",762
1690,Tuesday,3,4/30/2019,"6,093","4,264","3,440",824
1691,Wednesday,4,5/1/2019,"6,117","4,275","3,556",719
1692,Thursday,5,5/2/2019,"6,274","4,153","3,433",720
1693,Friday,6,5/3/2019,"4,774","3,370","2,763",607
1694,Saturday,7,5/4/2019,"3,437","2,462","1,999",463
1695,Sunday,1,5/5/2019,"4,330","3,009","2,457",552
1696,Monday,2,5/6/2019,"5,902","4,164","3,402",762
1697,Tuesday,3,5/7/2019,"6,064","4,258","3,469",789
1698,Wednesday,4,5/8/2019,"5,709","4,049","3,310",739
1699,Thursday,5,5/9/2019,"5,596","3,944","3,275",669
1700,Friday,6,5/10/2019,"4,498","3,144","2,494",650
1701,Saturday,7,5/11/2019,"3,258","2,119","1,702",417
1702,Sunday,1,5/12/2019,"3,571","2,565","2,070",495
1703,Monday,2,5/13/2019,"5,677","3,908","3,136",772
1704,Tuesday,3,5/14/2019,"5,534","3,669","2,977",692
1705,Wednesday,4,5/15/2019,"5,391","3,667","2,989",678
1706,Thursday,5,5/16/2019,"5,043","3,577","2,953",624
1707,Friday,6,5/17/2019,"3,993","2,795","2,254",541
1708,Saturday,7,5/18/2019,"2,565","1,876","1,545",331
1709,Sunday,1,5/19/2019,"3,369","2,364","1,954",410
1710,Monday,2,5/20/2019,"4,993","3,442","2,806",636
1711,Tuesday,3,5/21/2019,"4,728","3,406","2,813",593
1712,Wednesday,4,5/22/2019,"4,963","3,431","2,772",659
1713,Thursday,5,5/23/2019,"4,637","3,243","2,698",545
1714,Friday,6,5/24/2019,"3,694","2,559","2,070",489
1715,Saturday,7,5/25/2019,"2,460","1,658","1,347",311
1716,Sunday,1,5/26/2019,"3,006","2,064","1,693",371
1717,Monday,2,5/27/2019,"3,992","2,780","2,271",509
1718,Tuesday,3,5/28/2019,"4,960","3,403","2,767",636
1719,Wednesday,4,5/29/2019,"4,376","3,115","2,562",553
1720,Thursday,5,5/30/2019,"4,143","2,896","2,353",543
1721,Friday,6,5/31/2019,"3,359","2,363","1,909",454
1722,Saturday,7,6/1/2019,"2,218","1,474","1,221",253
1723,Sunday,1,6/2/2019,"2,768","1,845","1,516",329
1724,Monday,2,6/3/2019,"3,967","2,831","2,295",536
1725,Tuesday,3,6/4/2019,"4,501","3,008","2,426",582
1726,Wednesday,4,6/5/2019,"3,973","2,727","2,233",494
1727,Thursday,5,6/6/2019,"4,259","2,871","2,312",559
1728,Friday,6,6/7/2019,"3,181","2,313","1,869",444
1729,Saturday,7,6/8/2019,"2,170","1,583","1,324",259
1730,Sunday,1,6/9/2019,"2,810","1,930","1,586",344
1731,Monday,2,6/10/2019,"4,420","3,030","2,463",567
1732,Tuesday,3,6/11/2019,"4,793","3,258","2,664",594
1733,Wednesday,4,6/12/2019,"4,410","3,064","2,479",585
1734,Thursday,5,6/13/2019,"4,076","2,844","2,280",564
1735,Friday,6,6/14/2019,"3,287","2,265","1,789",476
1736,Saturday,7,6/15/2019,"2,176","1,467","1,201",266
1737,Sunday,1,6/16/2019,"2,516","1,747","1,419",328
1738,Monday,2,6/17/2019,"4,142","2,925","2,398",527
1739,Tuesday,3,6/18/2019,"4,225","3,013","2,461",552
1740,Wednesday,4,6/19/2019,"4,162","2,882","2,351",531
1741,Thursday,5,6/20/2019,"3,716","2,615","2,137",478
1742,Friday,6,6/21/2019,"3,333","2,275","1,853",422
1743,Saturday,7,6/22/2019,"1,918","1,360","1,118",242
1744,Sunday,1,6/23/2019,"2,344","1,621","1,317",304
1745,Monday,2,6/24/2019,"3,691","2,591","2,149",442
1746,Tuesday,3,6/25/2019,"4,035","2,770","2,247",523
1747,Wednesday,4,6/26/2019,"3,939","2,675","2,186",489
1748,Thursday,5,6/27/2019,"3,738","2,671","2,197",474
1749,Friday,6,6/28/2019,"2,846","2,021","1,657",364
1750,Saturday,7,6/29/2019,"1,733","1,199",983,216
1751,Sunday,1,6/30/2019,"2,184","1,494","1,240",254
1752,Monday,2,7/1/2019,"3,512","2,485","2,001",484
1753,Tuesday,3,7/2/2019,"3,675","2,636","2,163",473
1754,Wednesday,4,7/3/2019,"3,831","2,579","2,144",435
1755,Thursday,5,7/4/2019,"2,801","1,971","1,648",323
1756,Friday,6,7/5/2019,"2,552","1,790","1,446",344
1757,Saturday,7,7/6/2019,"1,950","1,291","1,110",181
1758,Sunday,1,7/7/2019,"2,110","1,477","1,209",268
1759,Monday,2,7/8/2019,"4,303","2,903","2,383",520
1760,Tuesday,3,7/9/2019,"3,883","2,799","2,335",464
1761,Wednesday,4,7/10/2019,"4,244","2,907","2,347",560
1762,Thursday,5,7/11/2019,"3,765","2,669","2,150",519
1763,Friday,6,7/12/2019,"3,286","2,276","1,816",460
1764,Saturday,7,7/13/2019,"1,851","1,305","1,063",242
1765,Sunday,1,7/14/2019,"2,580","1,754","1,433",321
1766,Monday,2,7/15/2019,"4,140","2,911","2,382",529
1767,Tuesday,3,7/16/2019,"4,076","2,785","2,285",500
1768,Wednesday,4,7/17/2019,"4,141","2,900","2,360",540
1769,Thursday,5,7/18/2019,"3,898","2,774","2,249",525
1770,Friday,6,7/19/2019,"3,027","2,078","1,641",437
1771,Saturday,7,7/20/2019,"1,831","1,271","1,033",238
1772,Sunday,1,7/21/2019,"2,282","1,617","1,356",261
1773,Monday,2,7/22/2019,"4,138","2,890","2,376",514
1774,Tuesday,3,7/23/2019,"4,049","2,868","2,344",524
1775,Wednesday,4,7/24/2019,"4,272","2,963","2,359",604
1776,Thursday,5,7/25/2019,"4,089","2,755","2,210",545
1777,Friday,6,7/26/2019,"3,277","2,264","1,842",422
